Province_State,Country_Region,Total Cases
Connecticut,US,27913
Connecticut,US,3271
Connecticut,US,31414
Delaware,US,64447
Delaware,US,186969
Delaware,US,0
Delaware,US,78267
Delaware,US,1110
Diamond Princess,US,49
District of Columbia,US,177945
District of Columbia,US,0
District of Columbia,US,0
Florida,US,89806
Florida,US,10746
Florida,US,56189
Florida,US,9245
Florida,US,175277
Florida,US,774980
Florida,US,4939
Florida,US,48860
Florida,US,39070
Florida,US,67269
Florida,US,106604
Florida,US,25731
Florida,US,11287
Florida,US,4938
Florida,US,319149
Florida,US,98081
Florida,US,29013
Florida,US,3580
Florida,US,17803
Florida,US,5663
Florida,US,2311
Florida,US,5043
Florida,US,4585
Florida,US,10362
Florida,US,13827
Florida,US,53794
Florida,US,30739
Florida,US,479640
Florida,US,6384
Florida,US,42698
Florida,US,18364
Florida,US,5046
Florida,US,3157
Florida,US,109346
Florida,US,243110
Florida,US,114380
Florida,US,12803
Florida,US,2997
Florida,US,7053
Florida,US,123507
Florida,US,105662
Florida,US,40724
Florida,US,1552197
Florida,US,22919
Florida,US,27713
Florida,US,62183
Florida,US,12495
Florida,US,475796
Florida,US,144497
Florida,US,0
Florida,US,481679
Florida,US,159816
Florida,US,277006
Florida,US,260300
Florida,US,21209
Florida,US,59416
Florida,US,122219
Florida,US,132095
Florida,US,78720
Florida,US,96060
Florida,US,30228
Florida,US,16028
Florida,US,8109
Florida,US,3307
Florida,US,5131
Florida,US,151166
Florida,US,12188
Florida,US,20605
Florida,US,7746
Georgia,US,5266
Georgia,US,2449
Georgia,US,4098
Georgia,US,654
Georgia,US,11199
Georgia,US,4586
Georgia,US,26052
Georgia,US,35396
Georgia,US,4991
Georgia,US,5876
Georgia,US,45403
Georgia,US,3938
Georgia,US,4689
Georgia,US,4061
Georgia,US,11203
Georgia,US,17869
Georgia,US,6296
Georgia,US,7680
Georgia,US,1571
Georgia,US,13653
Georgia,US,2581
Georgia,US,28396
Georgia,US,16998
Georgia,US,3485
Georgia,US,79653
Georgia,US,7924
Georgia,US,7581
Georgia,US,75790
Georgia,US,35334
Georgia,US,625
Georgia,US,77902
Georgia,US,2457
Georgia,US,216663
Georgia,US,11781
Georgia,US,13042
Georgia,US,43298
Georgia,US,5707
Georgia,US,41221
Georgia,US,2225
Georgia,US,5596
Georgia,US,3942
Georgia,US,8345
Georgia,US,192315
Georgia,US,8566
Georgia,US,5942
Georgia,US,2844
Georgia,US,24389
Georgia,US,43478
Georgia,US,3126
Georgia,US,1059
Georgia,US,16399
Georgia,US,5334
Georgia,US,6781
Georgia,US,2836
Georgia,US,5768
Georgia,US,29631
Georgia,US,32150
Georgia,US,66837
Georgia,US,6176
Georgia,US,276219
Georgia,US,8267
Georgia,US,727
Georgia,US,27259
Georgia,US,19761
Georgia,US,6835
Georgia,US,4758
Georgia,US,257462
Georgia,US,11488
Georgia,US,63629
Georgia,US,1945
Georgia,US,6292
Georgia,US,7114
Georgia,US,5609
Georgia,US,2583
Georgia,US,72008
Georgia,US,49515
Georgia,US,2226
Georgia,US,24990
Georgia,US,3797
Georgia,US,4357
Georgia,US,4238
Georgia,US,1789
Georgia,US,2645
Georgia,US,6040
Georgia,US,5842
Georgia,US,2698
Georgia,US,16454
Georgia,US,8668
Georgia,US,15774
Georgia,US,1838
Georgia,US,3479
Georgia,US,36984
Georgia,US,8941
Georgia,US,2737
Georgia,US,8025
Georgia,US,1872
Georgia,US,6165
Georgia,US,2857
Georgia,US,5576
Georgia,US,2033
Georgia,US,6277
Georgia,US,7074
Georgia,US,2329
Georgia,US,5534
Georgia,US,13523
Georgia,US,45908
Georgia,US,30775
Georgia,US,10559
Georgia,US,3758
Georgia,US,99220
Georgia,US,46667
Georgia,US,7951
Georgia,US,10130
Georgia,US,6431
Georgia,US,6495
Georgia,US,13752
Georgia,US,2699
Georgia,US,5270
Georgia,US,551
Georgia,US,4116
Georgia,US,1825
Georgia,US,60659
Georgia,US,23742
Georgia,US,1412
Georgia,US,3174
Georgia,US,2510
Georgia,US,19289
Georgia,US,7270
Georgia,US,3287
Georgia,US,8733
Georgia,US,1381
Georgia,US,337
Georgia,US,5725
Georgia,US,2440
Georgia,US,3520
Georgia,US,2547
Georgia,US,13776
Georgia,US,13823
Georgia,US,7999
Georgia,US,3085
Georgia,US,1882
Georgia,US,18779
Georgia,US,3186
Georgia,US,1852
Georgia,US,12410
Georgia,US,6138
Georgia,US,9619
Georgia,US,19976
Georgia,US,26614
Georgia,US,11350
Georgia,US,1291
Georgia,US,5134
Georgia,US,8867
Georgia,US,545
Georgia,US,1590
Georgia,US,8336
Georgia,US,39243
Georgia,US,2414
Georgia,US,2624
Georgia,US,2670
Georgia,US,5532
Grand Princess,US,103
Guam,US,61027
Hawaii,US,42594
Hawaii,US,264197
Hawaii,US,0
Hawaii,US,19155
Hawaii,US,45510
Hawaii,US,9152
Hawaii,US,0
Idaho,US,160373
Idaho,US,819
Idaho,US,24459
Idaho,US,1155
Idaho,US,2770
Idaho,US,11205
Idaho,US,7310
Idaho,US,1297
Idaho,US,10275
Idaho,US,35614
Idaho,US,2416
Idaho,US,555
Idaho,US,182
Idaho,US,70696
Idaho,US,1664
Idaho,US,5610
Idaho,US,118
Idaho,US,2693
Idaho,US,707
Idaho,US,9096
Idaho,US,2594
Idaho,US,2415
Idaho,US,4263
Idaho,US,3932
Idaho,US,3601
Idaho,US,6853
Idaho,US,7118
Idaho,US,47262
Idaho,US,7725
Idaho,US,1796
Idaho,US,1406
Idaho,US,1300
Idaho,US,13800
Idaho,US,4821
Idaho,US,10618
Idaho,US,956
Idaho,US,0
Idaho,US,2613
Idaho,US,6793
Idaho,US,1660
Idaho,US,3119
Idaho,US,2937
Idaho,US,28733
Idaho,US,0
Idaho,US,3146
Idaho,US,2645
Illinois,US,27974
Illinois,US,1574
Illinois,US,5310
Illinois,US,17550
Illinois,US,2873
Illinois,US,10275
Illinois,US,1900
Illinois,US,5022
Illinois,US,5620
Illinois,US,86054
Illinois,US,13026
Illinois,US,5933
Illinois,US,5921
Illinois,US,14392
Illinois,US,18977
Illinois,US,1533935
Illinois,US,7889
Illinois,US,4004
Illinois,US,5211
Illinois,US,32553
