Province_State,Country_Region,Total Cases
Florida,US,58
Florida,US,246
Florida,US,109
Florida,US,38
Florida,US,90
Florida,US,64
Florida,US,141
Florida,US,174
Florida,US,1286
Florida,US,807
Florida,US,4409
Florida,US,107
Florida,US,763
Florida,US,301
Florida,US,70
Florida,US,65
Florida,US,1811
Florida,US,2557
Florida,US,794
Florida,US,192
Florida,US,31
Florida,US,108
Florida,US,1743
Florida,US,2497
Florida,US,768
Florida,US,12285
Florida,US,138
Florida,US,355
Florida,US,768
Florida,US,200
Florida,US,3301
Florida,US,1273
Florida,US,0
Florida,US,6031
Florida,US,2280
Florida,US,4065
Florida,US,3450
Florida,US,469
Florida,US,695
Florida,US,2063
Florida,US,1282
Florida,US,706
Florida,US,1413
Florida,US,720
Florida,US,360
Florida,US,116
Florida,US,396
Florida,US,126
Florida,US,2341
Florida,US,143
Florida,US,236
Florida,US,124
Georgia,US,136
Georgia,US,58
Georgia,US,82
Georgia,US,15
Georgia,US,262
Georgia,US,101
Georgia,US,291
Georgia,US,488
Georgia,US,125
Georgia,US,96
Georgia,US,836
Georgia,US,111
Georgia,US,116
Georgia,US,101
Georgia,US,112
Georgia,US,283
Georgia,US,124
Georgia,US,181
Georgia,US,25
Georgia,US,140
Georgia,US,110
Georgia,US,500
Georgia,US,205
Georgia,US,65
Georgia,US,1042
Georgia,US,24
Georgia,US,152
Georgia,US,713
Georgia,US,264
Georgia,US,7
Georgia,US,1095
Georgia,US,46
Georgia,US,2102
Georgia,US,308
Georgia,US,278
Georgia,US,438
Georgia,US,83
Georgia,US,527
Georgia,US,64
Georgia,US,146
Georgia,US,44
Georgia,US,108
Georgia,US,1980
Georgia,US,144
Georgia,US,174
Georgia,US,76
Georgia,US,577
Georgia,US,462
Georgia,US,65
Georgia,US,12
Georgia,US,217
Georgia,US,121
Georgia,US,168
Georgia,US,70
Georgia,US,180
Georgia,US,387
Georgia,US,572
Georgia,US,466
Georgia,US,116
Georgia,US,2667
Georgia,US,199
Georgia,US,31
Georgia,US,442
Georgia,US,305
Georgia,US,114
Georgia,US,91
Georgia,US,2122
Georgia,US,290
Georgia,US,935
Georgia,US,91
Georgia,US,186
Georgia,US,125
Georgia,US,112
Georgia,US,62
Georgia,US,758
Georgia,US,545
Georgia,US,57
Georgia,US,314
Georgia,US,83
Georgia,US,77
Georgia,US,122
Georgia,US,69
Georgia,US,86
Georgia,US,127
Georgia,US,131
Georgia,US,32
Georgia,US,330
Georgia,US,113
Georgia,US,168
Georgia,US,40
Georgia,US,36
Georgia,US,434
Georgia,US,139
Georgia,US,54
Georgia,US,123
Georgia,US,57
Georgia,US,114
Georgia,US,39
Georgia,US,159
Georgia,US,32
Georgia,US,127
Georgia,US,185
Georgia,US,57
Georgia,US,75
Georgia,US,206
Georgia,US,928
Georgia,US,498
Georgia,US,117
Georgia,US,65
Georgia,US,1654
Georgia,US,477
Georgia,US,151
Georgia,US,194
Georgia,US,144
Georgia,US,109
Georgia,US,215
Georgia,US,84
Georgia,US,115
Georgia,US,5
Georgia,US,106
Georgia,US,50
Georgia,US,972
Georgia,US,351
Georgia,US,11
Georgia,US,76
Georgia,US,39
Georgia,US,452
Georgia,US,183
Georgia,US,36
Georgia,US,190
Georgia,US,35
Georgia,US,4
Georgia,US,144
Georgia,US,53
Georgia,US,90
Georgia,US,71
Georgia,US,235
Georgia,US,240
Georgia,US,216
Georgia,US,127
